error_scale,derivative_scale,output_scale,overshoot,settling_time,steady_state_error,recovery_time,maximum_voltage,meets_requirements,score
2.0,0.05,6.0,0.0,inf,0.0932034647542194,1.8099999999999996,6.0,False,inf
2.0,0.08,6.0,0.0,inf,0.10116978020422795,1.87,6.0,False,inf
2.0,0.08,8.0,0.0,inf,0.035712164982528584,1.29,8.0,False,inf
2.0,0.1,6.0,0.0,inf,0.10618450432506708,1.9100000000000001,6.0,False,inf
2.0,0.1,8.0,0.0,inf,0.03980150164351769,1.3099999999999996,8.0,False,inf
2.0,0.15,6.0,0.0,inf,0.11784031070164491,2.01,6.0,False,inf
2.0,0.15,8.0,0.0,inf,0.04978570849963903,1.3600000000000003,8.0,False,inf
2.0,0.2,6.0,0.0,inf,0.12846054440052884,2.1100000000000003,6.0,False,inf
2.0,0.2,8.0,0.0,inf,0.05944316870288909,1.4299999999999997,8.0,False,inf
2.5,0.03,6.0,0.0,inf,0.05431804295675279,1.3499999999999996,6.0,False,inf
2.5,0.05,6.0,0.0,inf,0.05914329408184253,1.37,6.0,False,inf
2.5,0.08,6.0,0.0,inf,0.06606130403760606,1.4100000000000001,6.0,False,inf
2.5,0.1,6.0,0.0,inf,0.07048511115158222,1.4299999999999997,6.0,False,inf
2.5,0.15,6.0,0.0,inf,0.08096477762168366,1.5,6.0,False,inf
2.5,0.2,6.0,0.0,inf,0.09076673227364522,1.5700000000000003,6.0,False,inf
3.0,0.08,6.0,0.0,inf,0.043602199687145266,1.1399999999999997,6.0,False,inf
3.0,0.1,6.0,0.0,inf,0.04751123850681137,1.1599999999999997,6.0,False,inf
3.0,0.15,6.0,0.0,inf,0.05699001216419174,1.1999999999999997,6.0,False,inf
3.0,0.2,6.0,0.0,inf,0.066065261938578,1.25,6.0,False,inf
3.5,0.2,6.0,0.0,inf,0.04879887308419319,1.0499999999999998,6.0,False,inf
